0,24.49,55.56
1,26.66,60.31
2,26.94,62.77
3,25.99,62.36
4,25.27,58.65
5,25.17,56.43
6,23.40,59.17
7,25.29,58.05
8,26.94,57.54
9,23.79,56.60
10,24.72,62.73
11,23.15,57.26
12,23.04,58.66
13,26.62,60.64
14,26.83,63.76
15,25.58,56.97
16,24.85,63.65
17,26.00,56.86
18,26.30,56.51
19,23.28,63.04
20,26.66,64.25
21,25.00,59.60
22,25.05,64.62
23,23.44,62.20
24,26.81,60.78
25,26.75,60.17
26,23.48,63.98
27,25.95,55.39
28,25.22,61.32
29,24.22,62.79
30,23.85,61.66
31,24.48,60.07
32,26.57,63.48
33,24.86,58.66
34,26.81,55.11
35,25.66,57.21
36,25.62,56.06
37,26.49,55.52
38,23.53,58.59
39,25.49,59.31
40,26.89,56.20
41,26.56,63.99
42,24.20,59.55
43,24.15,61.83
44,26.28,61.82
45,26.85,62.35
46,24.66,55.13
47,24.52,59.16
48,24.37,62.34
49,25.49,56.46
50,25.64,63.58
51,25.65,59.66
52,26.94,58.62
53,23.28,63.24
54,23.08,57.54
55,25.29,58.04
56,25.63,55.63
57,25.88,55.47
58,25.74,59.98
59,26.79,63.80
60,25.45,58.97
61,26.31,57.47
62,25.56,63.48
63,23.23,64.44
64,25.61,61.05
65,25.06,59.31
66,26.39,56.47
67,23.32,63.41
68,23.56,57.25
69,26.26,57.48
70,24.13,63.16
71,23.11,56.49
72,26.99,57.81
73,25.02,61.27
74,26.03,61.98
75,25.88,61.32
76,23.17,60.43
77,24.53,55.04
78,24.54,63.22
79,23.24,60.37
80,23.40,56.22
81,23.50,56.38
82,26.48,64.56
83,24.16,62.89
84,24.00,58.99
85,25.49,59.28
86,26.71,58.17
87,26.37,55.58
88,26.02,60.88
89,23.83,61.29
90,25.80,62.28
91,26.26,59.51
92,26.75,57.30
93,24.87,62.20
94,25.10,63.56
95,23.14,57.19
96,23.85,58.69
97,24.41,61.68
98,25.14,59.49
99,24.38,57.12
